Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
102,601,82,PER,2009-08-11 19:45:00,2009-08-11 20:46:00,0,0,0,0,0,1,1,1.5,2.5,1.5,0.5,0,0,0
103,601,82,PER,2009-08-12 00:45:00,2009-08-12 01:10:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,601,82,CAP,2009-08-11 19:45:00,2009-08-11 20:46:00,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0
113,601,82,SDA,2009-08-12 00:45:00,2009-08-12 01:10:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,601,82,SPO,2009-08-11 19:45:00,2009-08-11 20:46:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
271,283,165,QUA,2009-01-03 10:30:00,2009-01-03 11:30:00,0,0,0,0,0,0,6,6,8,10,9,0,0,0
280,283,165,QUA,2009-01-03 11:30:00,2009-01-03 12:00:00,0,0,0,0,0,0,6,3,13,6,1,0,0,0
284,283,165,QUA,2009-01-03 12:00:00,2009-01-03 12:30:00,0,0,0,0,1,0,5,3,9,11,6,0,0,0
301,283,165,QUA,2009-01-03 12:30:00,2009-01-03 12:53:00,0,0,0,0,0,1,7,3,10,1,5,0,0,0
360,283,165,SPO,2009-01-03 08:30:00,2009-01-03 12:53:00,0,0,0,0,0,0,0,3,4,3,3,0,0,0
365,283,165,COM,2009-01-03 08:30:00,2009-01-03 12:53:00,0,0,0,0,0,2,0,5,3,4,0,0,0,0
464,283,165,ANT,2009-01-03 08:30:00,2009-01-03 12:53:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
568,283,165,QUA,2009-01-03 08:30:00,2009-01-03 09:00:00,0,0,0,0,0,0,0,1,5,3,2,0,0,0
575,283,165,QUA,2009-01-03 09:00:00,2009-01-03 09:30:00,0,0,0,0,0,1,2,0,2,5,1,0,0,0
583,283,165,QUA,2009-01-03 09:30:00,2009-01-03 10:00:00,0,0,0,0,0,3,1,3,5,2,3,0,0,0
590,283,165,QUA,2009-01-03 10:00:00,2009-01-03 10:30:00,0,0,0,0,0,0,4,3,9,3,4,0,0,0
261,283,171,SPO,2009-05-02 10:40:00,2009-05-02 11:42:00,0,0,0,0,0,0,0,0,2,5,0,0,0,0
272,283,171,SPO,2009-05-02 10:00:00,2009-05-02 11:50:00,0,0,0,0,0,0,2,1,1,4,0,0,0,0
281,283,171,ANT,2009-05-02 10:00:00,2009-05-02 11:50:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
435,283,171,ELY,2009-05-02 10:40:00,2009-05-02 11:42:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
444,283,171,ELY,2009-05-02 10:00:00,2009-05-02 11:50:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
473,283,171,ETA,2009-05-02 10:40:00,2009-05-02 11:42:00,0,0,0,0,0,0,1,2,1,1,0,0,0,0
483,283,171,ETA,2009-05-02 10:00:00,2009-05-02 11:00:00,0,0,0,0,0,0,0,0,2,2,1,0,0,0
484,283,171,ETA,2009-05-02 11:01:00,2009-05-02 11:50:00,0,0,0,0,0,0,1,1,3,2,0,0,0,0
298,283,173,ANT,2009-05-05 09:51:00,2009-05-05 11:52:00,0,0,0,0,0,0,0,0,0,1,1,0,0,0
304,283,173,SPO,2009-05-05 09:51:00,2009-05-05 11:52:00,0,0,0,0,0,0,3,1,1,2,1,0,0,0
450,283,173,ELY,2009-05-05 09:51:00,2009-05-05 11:52:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0
517,283,173,ETA,2009-05-05 09:51:00,2009-05-05 10:51:00,0,0,0,0,0,0,2,1,3,3,0,0,0,0
519,283,173,ETA,2009-05-05 10:51:00,2009-05-05 11:52:00,0,0,0,0,0,0,0,1,6,3,0,0,0,0
302,283,174,ANT,2009-05-06 10:05:00,2009-05-06 11:05:00,0,0,0,0,0,0,0,0,0,1,2,0,0,0
317,283,174,SPO,2009-05-06 09:05:00,2009-05-06 12:05:00,0,0,0,0,0,0,0,0,1,1,3,0,0,0
452,283,174,ELY,2009-05-06 10:05:00,2009-05-06 11:05:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
