Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
23,584,7,ETA,1997-05-04 22:15:00,1997-05-05 01:26:00,0,0,0,0,0,0,2,2,4,4,0,0,0,0
27,584,7,ETA,1997-05-04 23:30:00,1997-05-05 00:30:00,0,0,0,0,0,1,1,1,1,2,3,0,0,0
49,584,7,SPO,1997-05-04 22:15:00,1997-05-05 01:26:00,0,0,0,0,0,1,1,4,1,5,3,0,0,0
52,584,7,SPO,1997-05-04 23:30:00,1997-05-05 00:30:00,0,0,0,0,0,0,0,0,0,6,6,1,0,0
38,584,9,PER,1997-08-10 20:35:00,1997-08-10 23:36:00,0,0,0,1,1,2,1,8,6,5,12,10,0,0
57,584,9,PER,1997-08-10 23:36:00,1997-08-11 01:40:00,0,0,0,0,0,0,1,5,10,8,9,6,0,0
50,584,10,PER,1997-08-11 22:38:00,1997-08-12 00:22:00,0,0,1,2,2,1,4,4,8,10,5,8,0,0
22,584,11,PER,1997-08-12 22:51:00,1997-08-13 00:04:00,0,0,0,0,0,0,1,10,11,5,9,12,0,0
25,584,11,PER,1997-08-12 20:21:00,1997-08-12 22:38:00,0,0,0,1,0,0,4,9,8,13,8,4,0,0
36,584,11,PER,1997-08-13 00:04:00,1997-08-13 01:00:00,0,0,0,1,0,1,4,7,10,15,10,6,0,0
41,584,11,PER,1997-08-13 01:00:00,1997-08-13 01:36:00,0,0,0,0,0,0,1,2,8,9,7,4,0,0
45,584,12,LEO,1997-11-17 22:44:00,1997-11-18 00:45:00,0,0,0,0,0,0,4,6,1,2,1,0,0,0
818,634,315,LEO,1997-11-17 22:08:00,1997-11-18 02:38:00,0,1,0,0,0,0,10,9,7,6,2,0,0,0
1035,654,371,SPO,1997-11-17 22:20:00,1997-11-18 02:05:00,0,0,0,0,0,0,1,2,1,1,0,0,0,0
1036,654,371,LEO,1997-11-17 22:20:00,1997-11-18 02:05:00,0,1,0,0,2,2,3,7,4,0,0,0,0,0
1041,655,372,SPO,1997-08-10 20:30:00,1997-08-11 01:40:00,0,0,0,0,1,1,2,10,8,9,5,1,0,0
1048,655,372,PER,1997-08-10 20:30:00,1997-08-11 01:40:00,0,0,0,1,2,6,4,11,8,12,3,2,0,0
1038,655,373,SPO,1997-08-11 20:15:00,1997-08-12 01:30:00,0,1,1,0,1,1,6,7,22,30,15,5,1,0
1042,655,373,PER,1997-08-11 20:15:00,1997-08-12 01:30:00,0,1,0,0,4,8,20,28,30,32,28,14,0,0
1044,655,374,SPO,1997-11-17 22:00:00,1997-11-18 02:55:00,0,0,0,0,0,0,1,5,4,2,1,0,0,0
1047,655,374,LEO,1997-11-17 22:00:00,1997-11-18 02:55:00,0,1,0,0,1,1,7,12,6,4,0,0,0,0
