Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
593,623,218,HYD,1996-12-13 14:45:00,1996-12-13 19:00:00,0,0,0,0,0,0,0,1,0,1,1,0,0,0
594,623,218,GEM,1996-12-13 14:45:00,1996-12-13 19:00:00,0,1,0,0,1,2,5,9,15,22,19,10,3,0
596,623,218,PUP,1996-12-13 14:45:00,1996-12-13 19:00:00,0,0,0,0,1,0,1,2,5,6,4,2,0,0
599,623,218,XOR,1996-12-13 14:45:00,1996-12-13 19:00:00,0,0,0,0,0,0,1,1,1,0,0,0,0,0
600,623,218,SPO,1996-12-13 14:45:00,1996-12-13 19:00:00,0,0,0,0,1,1,2,5,13,15,13,5,0,0
592,623,219,SPO,1996-12-14 13:00:00,1996-12-14 18:00:00,0,0,0,0,0,1,0,6,12,18,17,9,1,0
595,623,219,HYD,1996-12-14 13:00:00,1996-12-14 18:00:00,0,0,0,0,0,1,0,0,2,0,1,0,0,0
597,623,219,PUP,1996-12-14 13:00:00,1996-12-14 18:00:00,0,0,0,0,0,0,1,0,3,1,4,2,0,0
598,623,219,GEM,1996-12-14 13:00:00,1996-12-14 18:00:00,0,0,0,1,0,2,6,4,7,4,7,2,1,0
601,623,219,XOR,1996-12-14 13:00:00,1996-12-14 18:00:00,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1170,666,438,LYR,1996-04-19 22:30:00,1996-04-19 22:30:00,0,0,0,0,0,0,0.5,1.5,1,0,0,0,0,0
1233,666,439,LYR,1996-04-20 20:00:00,1996-04-21 00:20:00,0,0,0,0,0,0.5,0.5,1,1,0,0,0,0,0
1250,666,439,SPO,1996-04-20 22:30:00,1996-04-20 22:30:00,0,0,0,0,0.5,0.5,0.5,1.5,0,3,8,0,0,0
1277,666,439,SPO,1996-04-20 20:00:00,1996-04-21 00:20:00,0,0,0,0,0,0,0,1,2.5,7.5,10,4,0,0
1249,666,440,PER,1996-08-08 22:05:00,1996-08-08 23:43:00,0,0,0,0,0,0,0.5,1,3.5,3.5,1.5,1,0,0
1279,666,440,SPO,1996-08-08 22:05:00,1996-08-08 23:43:00,0,0,0,0,0,0,0,0,5.5,5.5,4.5,0.5,0,0
1149,666,441,SPO,1996-08-09 20:03:00,1996-08-10 01:00:00,0,0,0,0,0,0,2,1,7.5,21.5,20.5,5.5,0,0
1278,666,441,PER,1996-08-09 20:03:00,1996-08-10 01:00:00,0,0,0,0,0,0,1,3,10.5,10.5,9,1,0,0
1144,666,442,KCG,1996-08-10 20:00:00,1996-08-11 01:55:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1220,666,442,SPO,1996-08-11 01:14:00,1996-08-11 02:10:00,0,0,1,0,0,0,2.5,1,2,3.5,1.5,0.5,0,0
1248,666,442,PER,1996-08-10 20:00:00,1996-08-11 01:55:00,0,0,0,0,1,1,3.5,16,20.5,19.5,8,0.5,0,0
1280,666,442,SPO,1996-08-10 20:00:00,1996-08-11 01:55:00,0,0,0,0,0,0,0,4,10,18,33.5,1.5,0,0
1290,666,442,PER,1996-08-11 01:14:00,1996-08-11 02:10:00,0,0,0,0,0,0,7.5,12,10.5,5.5,0.5,0,0,0
1251,666,443,SPO,1996-08-14 20:24:00,1996-08-14 20:50:00,0,0,0,0,0,0,0.5,1,1,2,3.5,1,0,0
1274,666,444,PER,1996-08-15 20:00:00,1996-08-16 00:30:00,0,0,0,0,0,0,0.5,0.5,0,3,0,0,0,0
1282,666,444,SPO,1996-08-15 20:00:00,1996-08-16 00:30:00,0,0,0,0,0,0,0,1,4.5,6,5,1.5,0,0
1135,666,445,ORI,1996-10-19 21:06:00,1996-10-20 02:01:00,0,0,0,0,0,0,0,0,1.5,2,1.5,0,0,0
1175,666,445,ORI,1996-10-19 21:40:00,1996-10-19 22:20:00,0,0,0,0,0,0,0,0.5,0.5,1.5,0.5,0,0,0
1237,666,445,NTA,1996-10-19 21:06:00,1996-10-20 02:01:00,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0
1256,666,445,SPO,1996-10-19 21:06:00,1996-10-20 02:01:00,0,0,0,0,0,0,1.5,1,1.5,7,13,0,0,0
1259,666,445,STA,1996-10-19 21:06:00,1996-10-20 02:01:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1261,666,445,SPO,1996-10-19 21:40:00,1996-10-19 22:20:00,0,0,0,0,0,0,1,0,0,1.5,2.5,0,0,0
1267,666,446,STA,1996-10-20 21:40:00,1996-10-20 22:20:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1286,666,447,SPO,1996-11-08 17:55:00,1996-11-08 19:31:00,0,0,0,0,0,0,2,0,1,4,4,0,0,0
1448,676,516,PER,1996-08-12 17:40:00,1996-08-12 01:45:00,0,0,0,1,1.5,6.5,6,8.5,29,65,53,7.5,0,0
1423,676,517,PER,1996-08-14 18:10:00,1996-08-15 01:40:00,0,0,0,0,0,0,1,3,13,37,16,3,0,0
1435,676,517,PER,1996-08-14 19:35:00,1996-08-15 01:35:00,0,0,0,0,0,1,3,3.5,9,39,23.5,4,0,0
1438,676,517,SPO,1996-08-14 19:35:00,1996-08-15 01:35:00,0,0,0,0,0.5,0.5,0,0,3,15.5,29,10.5,0,0
1443,676,518,PER,1996-08-15 18:00:00,1996-08-16 01:30:00,0,0,0,1,0,0,1,2.5,9.5,38.5,10.5,3,0,0
1446,676,518,SPO,1996-08-15 18:00:00,1996-08-16 01:30:00,0,0,0,0,0,0,0.5,5.5,8,32,23.5,8.5,0,0
1467,679,530,PER,1996-08-11 21:04:00,1996-08-11 22:04:00,0,0,0,0,1,1,0.5,0.5,2,0,0,0,0,0
1475,679,530,SPO,1996-08-11 21:04:00,1996-08-11 22:04:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1481,679,531,PER,1996-08-15 20:07:00,1996-08-15 22:07:00,0,0,0,0,0,0,2.5,1,2,1.5,0,0,0,0
1484,679,531,SPO,1996-08-15 20:07:00,1996-08-15 22:07:00,0,0,0,0,0,0,0.5,1.5,4.5,4,0.5,0,0,0
1468,679,532,SPO,1996-10-04 17:50:00,1996-10-04 21:00:00,0,0,0,1.5,1.5,0,1,4.5,3.5,7,3,0,0,0
1469,679,533,SPO,1996-10-06 19:55:00,1996-10-06 20:55:00,0,0,0,0,0,2,0,1,0.5,0.5,1,0,0,0
1470,679,534,SPO,1996-10-07 18:10:00,1996-10-07 22:35:00,0,0,0,0,1,0.5,1.5,2,8.5,11.5,2,0,0,0
1485,679,534,DRA,1996-10-07 18:10:00,1996-10-07 22:35:00,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1570,687,568,SPO,1996-08-10 20:45:00,1996-08-11 02:00:00,0,0,0,1,2,0,5,5,6,3,2,2,0,0
1571,687,568,KCG,1996-08-10 20:45:00,1996-08-11 02:00:00,0,0,1,0,1,0,4,2,2,0,2,0,0,0
1572,687,568,PER,1996-08-10 20:45:00,1996-08-11 02:00:00,0,0,0,0,2,2,8,4,11,1,5,1,0,0
