Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
194044,4890,65724,LYR,2014-04-21 20:20:00,2014-04-21 21:20:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194045,4890,65724,LYR,2014-04-21 21:55:00,2014-04-21 22:23:00,0,0,0,0,0,0,0,0,2,1,0,0,0,0
194046,4890,65724,SPO,2014-04-21 20:20:00,2014-04-21 21:20:00,0,0,0,0,0,1,0,1,0,0,0,0,0,0
194047,4890,65724,SPO,2014-04-21 21:55:00,2014-04-21 22:23:00,0,0,0,0,0,0,1,0,1,2,0,0,0,0
194048,4890,65725,LYR,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
194049,4890,65725,SPO,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,1,1,0,1,0,0,0,0
194050,6130,65726,LYR,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0
194051,6130,65726,SPO,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,0,1,1.5,0.5,0,0,0,0
194052,7107,65727,LYR,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0
194053,7107,65727,SPO,2014-04-20 22:00:00,2014-04-20 23:00:00,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0
213437,6143,69252,PER,2014-08-12 21:00:00,2014-08-12 22:57:00,0,0,0,1,3,3,2,1,1,0,0,0,0,0
213438,6143,69252,KCG,2014-08-12 21:00:00,2014-08-12 22:57:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
213439,6143,69252,SPO,2014-08-12 21:00:00,2014-08-12 22:57:00,0,0,0,0,0,1,1,1,0,1,0,0,0,0
218302,6559,69910,GEM,2014-12-13 16:36:00,2014-12-13 18:36:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0
218303,6559,69910,GEM,2014-12-13 18:36:00,2014-12-13 19:36:00,0,0,0,0,1,1,1,1,4,9,0,0,0,0
218304,6559,69910,GEM,2014-12-13 19:36:00,2014-12-13 20:00:00,0,0,0,0,0,2,1,1,4,3,1,0,0,0
218305,6559,69910,GEM,2014-12-13 20:00:00,2014-12-13 21:15:00,0,0,0,3,4,1,3,3,2,1,2,0,0,0
218310,6558,69912,GEM,2014-12-13 16:36:00,2014-12-13 18:36:00,0,0,0,0,1,1,2,2,1,2,0,0,0,0
218311,6558,69912,GEM,2014-12-13 18:36:00,2014-12-13 19:36:00,0,0,0,0,1,1,3,1,2,2,0,0,0,0
218312,6558,69912,GEM,2014-12-13 19:36:00,2014-12-13 20:00:00,0,0,0,0,0,0,1,1,2,0,0,0,0,0
218313,6558,69912,GEM,2014-12-13 20:00:00,2014-12-13 21:15:00,0,0,0,2,5,6,1,1,2,2,1,0,0,0
218314,6558,69912,GEM,2014-12-13 21:15:00,2014-12-13 22:36:00,0,1,0,0,4,1,3,6,0,5,0,0,0,0
218591,8294,69958,QUA,2014-01-01 19:25:00,2014-01-01 19:55:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218592,8294,69958,QUA,2014-01-01 20:15:00,2014-01-01 21:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218593,8294,69958,SPO,2014-01-01 19:25:00,2014-01-01 19:55:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218621,4235,69960,QUA,2014-01-01 02:17:00,2014-01-01 03:18:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218622,4235,69960,SPO,2014-01-01 02:17:00,2014-01-01 03:18:00,0,0,0,0,0.5,0.5,0,1,0,0,1.5,0.5,0,0
218623,4235,69961,SPO,2014-01-02 01:50:00,2014-01-02 02:06:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218624,4235,69962,QUA,2014-01-02 02:24:00,2014-01-02 03:23:00,0,0,0,0,0,0,1.5,0.5,0,1,0,0,0,0
218625,4235,69962,SPO,2014-01-02 02:24:00,2014-01-02 03:23:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
218635,91,69965,SPO,2014-01-03 01:14:00,2014-01-03 02:12:00,0,0,0,0,0,0,1,1,1,3,0,0,0,0
218636,1186,69966,QUA,2014-01-03 01:14:00,2014-01-03 02:12:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218637,1186,69966,DLM,2014-01-03 01:14:00,2014-01-03 02:12:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218638,1186,69966,ANT,2014-01-03 01:14:00,2014-01-03 02:12:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
