Rate ID,User ID,Obs Session ID,Start Date,End Date,Ra,Decl,Teff,F,Lm,Shower,Method,Number
868401,3706,72631,2016-01-02 19:45:00,2016-01-02 20:35:00,330,60,0.75,1.14,5.9,QUA,C,0
868402,3706,72631,2016-01-02 19:45:00,2016-01-02 20:35:00,330,60,0.75,1.14,5.9,GEM,C,1
868403,3706,72631,2016-01-02 19:45:00,2016-01-02 20:35:00,330,60,0.75,1.14,5.9,SPO,C,1
868404,3706,72631,2016-01-02 20:45:00,2016-01-02 21:33:00,345,60,0.75,1.1,6,QUA,C,2
868405,3706,72631,2016-01-02 20:45:00,2016-01-02 21:33:00,345,60,0.75,1.1,6,GEM,C,0
868406,3706,72631,2016-01-02 20:45:00,2016-01-02 21:33:00,345,60,0.75,1.1,6,SPO,C,2
868407,3706,72631,2016-01-02 23:10:00,2016-01-03 00:30:00,360,60,1.3,1.1,6.08,QUA,C,3
868408,3706,72631,2016-01-02 23:10:00,2016-01-03 00:30:00,360,60,1.3,1.1,6.08,GEM,C,1
868409,3706,72631,2016-01-02 23:10:00,2016-01-03 00:30:00,360,60,1.3,1.1,6.08,SPO,C,1
868410,3542,72632,2016-01-03 20:45:00,2016-01-03 21:01:00,75,43,0.25,1,4.4,QUA,C,0
868411,3542,72632,2016-01-03 20:45:00,2016-01-03 21:01:00,75,43,0.25,1,4.4,SPO,C,0
868412,3542,72632,2016-01-03 21:02:00,2016-01-03 21:20:00,75,43,0.28,1,4.4,QUA,C,1
868413,3542,72632,2016-01-03 21:02:00,2016-01-03 21:20:00,75,43,0.28,1,4.4,SPO,C,0
868414,5248,72633,2016-01-04 05:15:00,2016-01-04 05:25:00,315,70,0.158,1.05,4.7,QUA,C,12
868415,5248,72633,2016-01-04 05:15:00,2016-01-04 05:25:00,315,70,0.158,1.05,4.7,SPO,C,1
868416,5248,72633,2016-01-04 05:25:00,2016-01-04 05:35:00,315,70,0.158,1.05,4.8,QUA,C,7
868417,5248,72633,2016-01-04 05:25:00,2016-01-04 05:35:00,315,70,0.158,1.05,4.8,SPO,C,1
868418,5248,72633,2016-01-04 05:35:00,2016-01-04 05:45:00,315,70,0.158,1.05,4.7,QUA,C,8
868419,5248,72633,2016-01-04 05:35:00,2016-01-04 05:45:00,315,70,0.158,1.05,4.7,SPO,C,1
868420,5248,72633,2016-01-04 05:45:00,2016-01-04 05:55:00,315,70,0.158,1.05,4.6,QUA,C,5
868421,5248,72633,2016-01-04 05:45:00,2016-01-04 05:55:00,315,70,0.158,1.05,4.6,SPO,C,2
868422,2914,72634,2016-01-04 05:00:00,2016-01-04 05:15:00,45,30,0.25,1,3.5,QUA,C,5
868423,2914,72634,2016-01-04 05:00:00,2016-01-04 05:15:00,45,30,0.25,1,3.5,SPO,C,1
868424,2914,72634,2016-01-04 05:15:00,2016-01-04 05:30:00,45,30,0.25,1,3.5,QUA,C,0
868425,2914,72634,2016-01-04 05:15:00,2016-01-04 05:30:00,45,30,0.25,1,3.5,SPO,C,1
