Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
612,627,228,ORI,1992-10-17 17:00:00,1992-10-17 18:30:00,0,0,0,0,0,0,1,2,0,0,4,0,0,0
613,627,228,SPO,1992-10-17 17:00:00,1992-10-17 18:30:00,0,0,0,0,0,0,0,2,4,5,3,1,0,0
614,627,229,ORI,1992-10-20 16:30:00,1992-10-20 18:00:00,0,0,0,0,0,0,1,3,2,5,4,2,0,0
615,627,229,SPO,1992-10-20 16:30:00,1992-10-20 18:00:00,0,0,0,0,0,0,2,5,3,8,11,7,0,0
1670,699,627,PER,1992-08-09 21:48:00,1992-08-09 22:31:00,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1674,699,628,DAQ,1992-08-11 21:03:00,1992-08-12 00:34:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1675,699,628,KCG,1992-08-11 21:03:00,1992-08-12 00:34:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1676,699,628,PER,1992-08-11 21:03:00,1992-08-12 00:34:00,0,0,1,2,1,7,5,7,7,10,0,0,0,0
2966,1,767,COM,1992-01-01 22:04:00,1992-01-02 05:55:00,0,0,0,0,0,0,0,0,1,0.5,2.5,1.5,0.5,0
2976,1,767,QUA,1992-01-01 22:04:00,1992-01-02 05:55:00,0,0,0,0,0,0,0,1,1,1.5,2.5,0,1,0
2983,1,767,SPO,1992-01-01 22:04:00,1992-01-02 05:55:00,0,0,0,0,0,0,0,3,6,15,10,10.5,1.5,0
1800,1,768,QUA,1992-01-02 22:00:00,1992-01-02 23:15:00,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1805,1,768,SPO,1992-01-02 22:00:00,1992-01-02 23:15:00,0,0,0,0,0,0,0,0,0,4,2,0,0,0
2190,1,769,COM,1992-01-04 01:00:00,1992-01-04 02:17:00,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0
2198,1,769,COM,1992-01-04 03:15:00,1992-01-04 04:15:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2207,1,769,COM,1992-01-04 04:15:00,1992-01-04 05:15:00,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2215,1,769,QUA,1992-01-04 01:00:00,1992-01-04 02:17:00,0,0,0,0,2,2,4,3,23.5,29,22.5,8,4,0
2225,1,769,QUA,1992-01-04 05:15:00,1992-01-04 06:00:00,0,0,0,0,1,2,1,3,20,29,18,6,1,0
2233,1,769,QUA,1992-01-04 03:15:00,1992-01-04 04:15:00,0,0,0,1,0,1,3,9,23,44,28,6,0,0
2242,1,769,QUA,1992-01-04 04:15:00,1992-01-04 05:15:00,0,0,1,1,2,1,0,11,33,50,28,10,6,0
2249,1,769,SPO,1992-01-04 01:00:00,1992-01-04 02:17:00,0,0,0,0,0,0,0,0,2.5,7,6.5,3,2,0
2255,1,769,SPO,1992-01-04 05:15:00,1992-01-04 06:00:00,0,0,0,0,0,0,0,1,0,3,3,1,0,0
2264,1,769,SPO,1992-01-04 03:15:00,1992-01-04 04:15:00,0,0,0,0,0,0,1,0,1,1,2.5,2.5,0,0
2270,1,769,SPO,1992-01-04 04:15:00,1992-01-04 05:15:00,0,0,0,0,0,0,0,1,3,4,4.5,2.5,0,0
2414,1,770,COM,1992-01-05 00:36:00,1992-01-05 05:46:00,0,0,0,0,0,0,0,1,0,1.5,2,0.5,0,0
2420,1,770,DCA,1992-01-05 00:36:00,1992-01-05 05:46:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2426,1,770,QUA,1992-01-05 00:36:00,1992-01-05 05:46:00,0,0,0,0,0,0,0,1.5,4.5,3.5,3,0.5,0,0
2432,1,770,SPO,1992-01-05 00:36:00,1992-01-05 05:46:00,0,0,0,0,0,1,1,0.5,4,10,14.5,12.5,3.5,0
2815,1,771,LYR,1992-04-20 20:05:00,1992-04-20 22:55:00,0,0,0,0,0,0,1,0,0.5,1.5,0.5,0.5,0,0
2823,1,771,SPO,1992-04-20 20:05:00,1992-04-20 22:55:00,0,0,0,0,0,0,0,0,4.5,3.5,2.5,2.5,1,0
2829,1,771,VIR,1992-04-20 20:05:00,1992-04-20 22:55:00,0,0,0,0,0,0,0,0,0.5,1.5,0.5,2.5,1,0
1935,1,772,SOP,1992-05-19 20:40:00,1992-05-19 22:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1942,1,772,SPO,1992-05-19 20:40:00,1992-05-19 22:00:00,0,0,0,0,0,0,0,0,0.5,2,1.5,0,0,0
2216,1,773,KCG,1992-08-11 20:41:00,1992-08-11 23:37:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2227,1,773,PER,1992-08-11 20:41:00,1992-08-11 23:37:00,0,0,0,0.5,1.5,1,1.5,6.5,6.5,3.5,0,0,0,0
2234,1,773,SPO,1992-08-11 20:41:00,1992-08-11 23:37:00,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0
1972,1,774,PER,1992-08-14 20:00:00,1992-08-15 00:29:00,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1981,1,774,SPO,1992-08-14 20:00:00,1992-08-15 00:29:00,0,0,0,0,0,0,0,0,2.5,2,1.5,1,0,0
1888,1,775,NTA,1992-10-22 18:40:00,1992-10-23 00:00:00,0,0,0,0,0,0,0,0,2.5,1.5,1,0,0,0
1892,1,775,ORI,1992-10-22 21:20:00,1992-10-23 00:00:00,0,0,0,0,0,0,1.5,2.5,0.5,3.5,0,0,1,0
1898,1,775,SPO,1992-10-22 18:40:00,1992-10-23 00:00:00,0,0,0,0,1,0,0.5,2,0.5,2,2,2,1,0
1903,1,775,STA,1992-10-22 18:40:00,1992-10-23 00:00:00,0,0,0,0,0,0,0.5,0.5,0,0.5,1,1.5,0,0
2734,1,776,GEM,1992-12-13 18:19:00,1992-12-13 19:35:00,0,0,0,0,0,0,1.5,4,4.5,8,4,1,0,0
2741,1,776,SPO,1992-12-13 18:19:00,1992-12-13 19:35:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4249,757,1247,AQU,1992-07-28 21:00:00,1992-07-29 02:30:00,0,0,0,0,0,0,0.5,3,1.5,1,0,0,0,0
4250,757,1247,CAP,1992-07-28 21:00:00,1992-07-29 02:30:00,0,0,0,0,0,3,2.5,0.5,1,0,0,0,0,0
4251,757,1247,PER,1992-07-28 21:00:00,1992-07-29 02:30:00,0,0,0,0,0,0,1,3,0,1.5,0.5,0,0,0
4252,757,1247,SPO,1992-07-28 21:00:00,1992-07-29 02:30:00,0,0,0,0,0,1,1,3,2,3.5,3.5,0,0,0
4232,757,1248,AQU,1992-07-29 21:11:00,1992-07-30 02:30:00,0,0,0,0,0,0,0.5,7,0.5,0.5,0.5,0,0,0
4233,757,1248,CAP,1992-07-29 21:11:00,1992-07-30 02:30:00,0,0,1,0,0,1.5,1,0.5,0.5,2,1.5,0,0,0
4234,757,1248,PER,1992-07-29 21:11:00,1992-07-30 02:30:00,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0
4235,757,1248,SPO,1992-07-29 21:11:00,1992-07-30 02:30:00,0,1,0,0,0,0,4,9,2.5,5,3.5,0,0,0
4246,757,1249,AQU,1992-07-30 21:10:00,1992-07-31 02:15:00,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0
4247,757,1249,PER,1992-07-30 21:10:00,1992-07-31 02:15:00,0,0,0,0,0,0,0.5,4,2,1.5,0,0,0,0
4248,757,1249,SPO,1992-07-30 21:10:00,1992-07-31 02:15:00,0,0,0,0,0,1,1,5,1.5,4,1.5,0,0,0
4236,757,1250,AQU,1992-08-02 20:00:00,1992-08-03 01:30:00,0,0,0,0,0,0,0.5,0.5,1.5,3.5,1,0,0,0
4237,757,1250,CAP,1992-08-02 20:00:00,1992-08-03 01:30:00,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0
4238,757,1250,KCG,1992-08-02 20:00:00,1992-08-03 01:30:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
4239,757,1250,PER,1992-08-02 20:00:00,1992-08-03 01:30:00,0,0,0,0,0,0,1,6,1.5,1,1.5,0,0,0
4240,757,1250,SPO,1992-08-02 20:00:00,1992-08-03 01:30:00,0,0,0,0,0,1.5,2,3,1.5,7.5,7.5,0,0,0
4243,757,1251,AQU,1992-08-03 21:00:00,1992-08-04 01:35:00,0,0,0,0,0,0,0,0,1,1,1,0,0,0
4244,757,1251,PER,1992-08-03 21:00:00,1992-08-04 01:35:00,0,0,0,0,0,0,0,2.5,5.5,3.5,0.5,0,0,0
4245,757,1251,SPO,1992-08-03 21:00:00,1992-08-04 01:35:00,0,0,0,0,1,0,0.5,4.5,6,9,3.5,0.5,0,0
4241,757,1252,PER,1992-08-11 20:00:00,1992-08-12 01:40:00,1,0,0,2,3,7.5,7.5,18,13.5,4,0.5,0,0,0
4242,757,1252,SPO,1992-08-11 20:00:00,1992-08-12 01:40:00,0,0,0,0,0,0,1,0.5,1.5,1,0,0,0,0
6847,797,2116,QUA,1992-01-04 23:37:00,1992-01-05 03:00:00,0,0,0,0,0,0,1,0.5,2,1.5,1,0,0,0
6848,797,2116,SPO,1992-01-04 23:37:00,1992-01-05 03:00:00,0,0,0,0,0,2,0,0,5.5,7.5,5,1,0,0
6858,797,2117,SPO,1992-10-21 20:42:00,1992-10-22 01:15:00,0,0,0,0,0,0,0,1,2,0,1,3,0,0
8459,17,2503,DIV,1992-07-27 23:30:00,1992-07-28 01:30:00,0,0,0,0,0,1,0,0,2.5,0.5,0,0,0,0
8462,17,2503,SPO,1992-07-27 23:30:00,1992-07-28 01:30:00,0,0,0,0,0,0,1,0.5,1.5,5,2,0,0,0
8355,17,2504,CAP,1992-07-30 00:30:00,1992-07-30 01:50:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8359,17,2504,PER,1992-07-30 00:30:00,1992-07-30 01:50:00,0,0,0,0,0,0,1,1,1,0,0,0,0,0
8361,17,2504,SPO,1992-07-30 00:30:00,1992-07-30 01:50:00,0,0,0,0,0,1,0.5,1.5,2,3,3,0,0,0
8426,17,2505,PER,1992-08-03 23:10:00,1992-08-04 01:37:00,0,0,0,0,0.5,1.5,0,0,0.5,1,1.5,0,0,0
8431,17,2505,SPO,1992-08-03 23:10:00,1992-08-04 01:37:00,0,0,0,0,0,1.5,2.5,3,3.5,1,1.5,0,0,0
8478,17,2505,PER,1992-08-03 23:20:00,1992-08-04 01:30:00,0,0,0,0,0,1.5,1.5,0.5,0.5,0.5,0.5,0,0,0
8477,17,2506,DIV,1992-08-04 23:20:00,1992-08-05 01:30:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8481,17,2506,SPO,1992-08-04 23:20:00,1992-08-05 01:30:00,0,0,0,0,1,3,1,1,2.5,2.5,0,0,0,0
8288,17,2507,PER,1992-08-05 22:36:00,1992-08-06 00:08:00,0,0,0,0,1,0,0,0,0,2,0,0,0,0
8289,17,2507,SPO,1992-08-05 22:36:00,1992-08-06 00:08:00,0,0,0,0,0,0,2,1.5,4.5,4.5,4.5,0,0,0
8564,848,2548,CAP,1992-07-27 23:10:00,1992-07-28 00:55:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8565,848,2548,PER,1992-07-27 23:10:00,1992-07-28 00:55:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8566,848,2548,SPO,1992-07-27 23:10:00,1992-07-28 00:55:00,0,0,0,0,0,1,1.5,0.5,0,1,0,0,0,0
8557,848,2549,SPO,1992-07-29 22:55:00,1992-07-29 23:55:00,0,0,0,0,0,1,1,0.5,1,3.5,0,0,0,0
8562,848,2550,PER,1992-08-03 23:45:00,1992-08-04 01:30:00,0,0,0,0,0,0.5,1,1,0.5,0,0,0,0,0
8563,848,2550,SPO,1992-08-03 23:45:00,1992-08-04 01:30:00,0,0,0,0,0,0,2.5,0.5,3,0,0,0,0,0
8567,848,2551,CAP,1992-08-04 23:15:00,1992-08-05 00:15:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
8568,848,2551,PER,1992-08-04 23:15:00,1992-08-05 00:15:00,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
8569,848,2551,SPO,1992-08-04 23:15:00,1992-08-05 00:15:00,0,0,0,0,0,0,1.5,3,1.5,2,0,0,0,0
8549,848,2552,PER,1992-08-05 22:35:00,1992-08-06 00:10:00,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,0
8550,848,2552,SPO,1992-08-05 22:35:00,1992-08-06 00:10:00,0,0,0,0,0,0,0,0,2,2,0,0,0,0
8587,851,2595,PUP,1992-01-12 11:00:00,1992-01-12 15:20:00,0,0,0,0,0,0,1,0,0,2,0,0,0,0
8588,851,2595,SPO,1992-01-12 11:00:00,1992-01-12 15:20:00,0,0,0,0,0,0,1,0,0,3,2,0,0,0
8582,851,2603,PPU,1992-04-23 12:50:00,1992-04-23 15:30:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8583,851,2603,SPO,1992-04-23 12:50:00,1992-04-23 15:30:00,0,0,0,0,0,0,0,1,2,0,3,0,0,0
8584,851,2604,SPO,1992-04-24 11:00:00,1992-04-24 13:20:00,0,0,0,0,0,0,0,0,2,2,1,0,0,0
8585,851,2605,PPU,1992-04-25 11:00:00,1992-04-25 13:20:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8586,851,2605,SPO,1992-04-25 11:00:00,1992-04-25 13:20:00,0,0,0,0,0,0,0,1,2,0,1,0,0,0
9620,880,2822,ALE,1992-01-01 02:25:00,1992-01-01 04:48:00,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0
9625,880,2822,COM,1992-01-01 02:25:00,1992-01-01 04:48:00,0,0,0,0,0,0,0,0,0,0.5,3.5,1,0,0
9629,880,2822,OCM,1992-01-01 02:25:00,1992-01-01 04:48:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
9632,880,2822,QUA,1992-01-01 02:25:00,1992-01-01 04:48:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0
9635,880,2822,SPO,1992-01-01 02:25:00,1992-01-01 04:48:00,0,0,0,0,0,0,0,1.5,2.5,5,3,1.5,0.5,0
9724,880,2822,COM,1992-01-01 01:55:00,1992-01-01 05:17:00,0,0,0,0,0,0,0,0,2,1,0.5,1.5,0,0
9728,880,2822,OCM,1992-01-01 01:55:00,1992-01-01 05:17:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9732,880,2822,SPO,1992-01-01 01:55:00,1992-01-01 05:17:00,0,0,0,0,0,0,1,0.5,3.5,5.5,4.5,1,0,0
9144,880,2824,ALE,1992-01-03 02:05:00,1992-01-03 05:30:00,0,0,0,0,0,0,0,0,1,1,1,0,0,0
9148,880,2824,COM,1992-01-03 02:05:00,1992-01-03 05:30:00,0,0,0,0,0,0,0,0.5,2,5.5,2,1,0,0
9151,880,2824,QUA,1992-01-03 02:05:00,1992-01-03 05:30:00,0,0,0,0,0,0,0,2.5,4.5,7,5,0,0,0
9153,880,2824,SPO,1992-01-03 02:05:00,1992-01-03 05:30:00,0,0,0,0,0,1,0,2.5,4.5,10,7,1,0,0
9313,880,2824,COM,1992-01-03 01:50:00,1992-01-03 06:20:00,0,0,0,0,0,0,0,0,7,10.5,11,2.5,0,0
9316,880,2824,QUA,1992-01-03 01:50:00,1992-01-03 03:00:00,0,0,0,0,0,0,0,4,13.5,16.5,2,0,0,0
9319,880,2824,QUA,1992-01-03 03:00:00,1992-01-03 04:00:00,0,0,0,0,0,0,1,4.5,17,19.5,6,0,0,0
9321,880,2824,QUA,1992-01-03 04:00:00,1992-01-03 05:00:00,0,0,0,0,1,0,4.5,9,26,21.5,11.5,0.5,0,0
9324,880,2824,QUA,1992-01-03 05:00:00,1992-01-03 06:20:00,0,0,0,0,0,1,5.5,9,35.5,43,10,3,0,0
9327,880,2824,SPO,1992-01-03 01:50:00,1992-01-03 03:00:00,0,0,0,0,0,0,0,2.5,9,16.5,10,1,0,0
9333,880,2824,SPO,1992-01-03 03:00:00,1992-01-03 04:00:00,0,0,0,0,0,0,0,1,2.5,10.5,3,1,0,0
9339,880,2824,SPO,1992-01-03 04:00:00,1992-01-03 05:00:00,0,0,0,0,0,0,0.5,2.5,6.5,10.5,10,0,0,0
9344,880,2824,SPO,1992-01-03 05:00:00,1992-01-03 06:20:00,0,0,0,0,0,0,0.5,2.5,5.5,10,4.5,1,0,0
9286,880,2826,CAP,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,1.5,0.5,0,0.5,0.5,0,0,0,0
9290,880,2826,NDA,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0
9295,880,2826,PER,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0
9299,880,2826,SDA,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9303,880,2826,SIA,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0
9304,880,2826,SPO,1992-07-22 23:03:00,1992-07-23 00:42:00,0,0,0,0,0,0,0,0.5,1,2.5,1.5,0.5,0,0
9074,880,2827,SDA,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0.5,1,2.5,1,0.5,1.5,0,0
9080,880,2827,SIA,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0
9088,880,2827,SPO,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,1.5,2.5,2,4,8.5,2.5,0,0
9759,880,2827,AQU,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0,0,2,1.5,0.5,0,0,0
9766,880,2827,CAP,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,1,0.5,2.5,0,0.5,0.5,0,0
9770,880,2827,NDA,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0,0,1.5,0.5,2,1,0,0
9774,880,2827,PAU,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0.5,0.5,1.5,0.5,1,0,0,0
9780,880,2827,PER,1992-08-01 02:59:00,1992-08-01 05:27:00,0,0,0,0,0,0,0,1,8,6.5,4.5,2,0,0
9158,880,2828,AQU,1992-08-02 02:49:00,1992-08-02 05:28:00,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
