Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
29,584,16,PER,2000-08-11 21:15:00,2000-08-12 01:35:00,0,0,2,5,16,17,14,34,16,14,13,0,0,0
55,584,17,PER,2000-08-12 22:40:00,2000-08-13 00:40:00,0,0,0,1,3,1,7,10,2,9,7,0,0,0
226,618,126,QUA,2000-01-04 03:56:00,2000-01-04 04:24:00,0,0,0,0,0,0,1,1,1,1,0,2,0,0
227,618,126,QUA,2000-01-04 04:24:00,2000-01-04 04:44:00,0,0,0,0,1,1,1,0,2,1,0,0,0,0
228,618,126,QUA,2000-01-04 04:44:00,2000-01-04 05:14:00,0,0,0,0,0,1,2,0,1,0,1,1,0,0
229,618,126,QUA,2000-01-04 05:14:00,2000-01-04 05:32:00,0,0,0,0,1,1,0,1,1,0,2,0,0,0
230,618,126,SPO,2000-01-04 03:30:00,2000-01-04 05:32:00,0,0,0,0,0,0,1,1,4,1,1,2,0,0
231,618,126,QUA,2000-01-04 03:30:00,2000-01-04 03:56:00,0,0,0,0,0,1,2,0,0,0,2,0,0,0
618,629,282,COM,2000-01-03 17:00:00,2000-01-03 21:00:00,0,0,0,0,0,0,0,1,0,4,4,0,0,0
767,629,282,SPO,2000-01-03 17:00:00,2000-01-03 21:00:00,0,0,0,0,0,0,0,1,10,17,12,10,0,0
789,629,282,QUA,2000-01-03 17:00:00,2000-01-03 21:00:00,0,0,0,0,0,0,3,3,8,20,18,7,0,0
663,629,284,LYR,2000-04-21 15:00:00,2000-04-21 19:10:00,0,0,0,0,0,0,1,0,5,4,6,0,0,0
760,629,284,SPO,2000-04-21 15:00:00,2000-04-21 19:10:00,0,0,0,0,0,1,2,2,6,13,4,0,0,0
680,629,285,SPO,2000-04-28 16:00:00,2000-04-28 19:00:00,0,0,0,0,0,1,1,3,7,8,13,6,0,0
703,629,285,SAG,2000-04-28 16:00:00,2000-04-28 19:00:00,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718,629,285,ETA,2000-04-28 16:00:00,2000-04-28 19:00:00,0,0,0,0,1,0,0,0,2,3,1,1,0,0
725,629,286,ETA,2000-04-29 16:00:00,2000-04-29 18:50:00,0,0,0,0,0,0,0,0,1,3,0,1,0,0
719,629,287,SPO,2000-05-01 17:00:00,2000-05-01 19:00:00,0,0,0,0,0,2,0,2,2,3,6,6,0,0
721,629,287,SAG,2000-05-01 17:00:00,2000-05-01 19:00:00,0,0,0,0,0,1,1,0,1,0,1,0,0,0
732,629,287,ETA,2000-05-01 17:00:00,2000-05-01 19:00:00,0,0,0,0,0,0,0,1,0,3,2,1,0,0
734,629,288,SPO,2000-05-02 17:00:00,2000-05-02 19:00:00,0,0,0,0,0,0,0,1,2,4,13,6,0,0
739,629,288,ETA,2000-05-02 17:00:00,2000-05-02 19:00:00,0,0,0,0,0,0,2,3,3,4,3,2,0,0
748,629,289,ETA,2000-05-03 17:00:00,2000-05-03 19:00:00,0,0,0,0,0,0,1,2,2,4,5,0,0,0
759,629,289,SPO,2000-05-03 17:00:00,2000-05-03 19:00:00,0,0,0,0,0,0,1,1,0,3,8,2,0,0
765,629,290,ETA,2000-05-04 17:10:00,2000-05-04 19:00:00,0,0,0,0,0,0,0,1,2,3,4,0,0,0
769,629,291,SPO,2000-05-05 17:10:00,2000-05-05 19:00:00,0,0,0,0,0,0,1,1,3,2,4,0,0,0
780,629,291,ETA,2000-05-05 17:00:00,2000-05-05 19:00:00,0,0,0,0,0,0,1,1,3,0,6,2,0,0
785,629,291,SPO,2000-05-05 17:00:00,2000-05-05 19:00:00,0,0,0,0,0,0,0,0,2,5,7,1,0,0
633,629,292,SPO,2000-05-08 16:00:00,2000-05-08 18:50:00,0,0,0,0,0,1,0,3,6,7,10,8,0,0
806,629,292,ETA,2000-05-08 16:00:00,2000-05-08 18:50:00,0,0,0,0,1,0,0,0,3,4,2,2,0,0
666,629,294,SPO,2000-05-24 11:50:00,2000-05-24 15:00:00,0,0,0,0,0,1,1,0,1,9,10,5,0,0
671,629,295,SPO,2000-05-25 11:50:00,2000-05-25 14:40:00,0,0,0,0,0,0,0,1,3,3,4,3,0,0
664,629,296,PER,2000-07-26 15:00:00,2000-07-26 18:50:00,0,0,0,0,0,0,0,1,1,4,0,0,0,0
737,629,296,SDA,2000-07-26 15:00:00,2000-07-26 18:50:00,0,0,0,0,0,0,0,0,0,6,1,0,0,0
749,629,296,CAP,2000-07-26 15:00:00,2000-07-26 18:50:00,0,0,0,0,0,0,0,0,1,1,1,1,0,0
793,629,296,SPO,2000-07-26 15:00:00,2000-07-26 18:50:00,0,0,0,0,0,1,3,3,6,9,8,2,0,0
805,629,296,NDA,2000-07-26 15:00:00,2000-07-26 18:50:00,0,0,0,0,0,0,0,0,1,1,1,1,0,0
644,629,297,SPO,2000-07-29 18:10:00,2000-07-29 18:45:00,0,0,0,0,0,0,1,1,3,2,2,2,0,0
709,629,297,PER,2000-07-29 18:10:00,2000-07-29 18:45:00,0,0,0,0,0,0,1,1,0,0,0,1,0,0
783,629,297,SDA,2000-07-29 18:10:00,2000-07-29 18:45:00,0,0,0,0,0,0,0,0,2,0,1,1,0,0
634,629,298,NDA,2000-07-30 15:00:00,2000-07-30 18:55:00,0,0,0,0,0,0,0,0,0,1,2,3,0,0
658,629,298,SPO,2000-07-30 15:00:00,2000-07-30 18:55:00,0,0,0,0,0,1,7,5,11,14,19,11,4,0
722,629,298,PER,2000-07-30 15:00:00,2000-07-30 18:55:00,0,0,0,0,0,0,1,2,7,2,7,2,1,0
790,629,298,SDA,2000-07-30 15:00:00,2000-07-30 18:55:00,0,0,0,0,0,0,1,2,7,10,7,4,1,0
804,629,298,CAP,2000-07-30 15:00:00,2000-07-30 18:55:00,0,0,0,0,0,1,0,2,1,2,2,2,0,0
624,629,299,CAP,2000-07-31 15:00:00,2000-07-31 18:30:00,0,0,0,0,0,1,0,0,1,0,4,0,0,0
697,629,299,SPO,2000-07-31 15:00:00,2000-07-31 18:30:00,0,0,0,0,1,2,0,6,6,7,15,7,2,0
