Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
242498,418,74141,SPO,2017-01-01 07:53:00,2017-01-01 09:00:00,0,0,0,0,0,0,0,0,3,2,2,3,0,0
242499,418,74141,ANT,2017-01-01 07:53:00,2017-01-01 09:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242500,418,74141,QUA,2017-01-01 07:53:00,2017-01-01 09:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242501,418,74141,U27,2017-01-01 07:53:00,2017-01-01 09:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242506,131,74143,SPO,2017-01-02 02:31:00,2017-01-02 04:38:00,0,0,0,0,0,1,0,1,4,5,9,5,0,0
242507,131,74143,QUA,2017-01-02 02:31:00,2017-01-02 03:35:00,0,0,0,0,0,0,0,0,0,3,1,0,0,0
242508,131,74143,QUA,2017-01-02 03:35:00,2017-01-02 04:38:00,0,0,0,0,0,0,0,2,1,1,1,0,0,0
242509,131,74143,DLM,2017-01-02 02:31:00,2017-01-02 04:38:00,0,0,0,0,0,0,2,0,0,0,0,1,0,0
242510,131,74143,ANT,2017-01-02 02:31:00,2017-01-02 04:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242511,7210,74144,SPO,2017-01-02 03:30:00,2017-01-02 04:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242512,7210,74144,QUA,2017-01-02 03:30:00,2017-01-02 04:21:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242513,418,74145,SPO,2017-01-02 09:41:00,2017-01-02 11:00:00,0,0,0,0,0,0,0,1,3,5,2,1,0,0
242514,418,74145,QUA,2017-01-02 09:41:00,2017-01-02 11:00:00,0,0,0,0,0,0,0,2,2,4,3,0,0,0
242515,418,74145,DLM,2017-01-02 09:41:00,2017-01-02 11:00:00,0,0,0,0,0,0,0,2,0,0,1,0,0,0
242516,418,74145,U28,2017-01-02 09:41:00,2017-01-02 11:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242522,82,74147,SPO,2017-01-02 21:05:00,2017-01-02 21:36:00,0,0,0,0,0,0,0,1,1,2,1,0,0,0
242523,82,74147,ANT,2017-01-02 21:05:00,2017-01-02 21:36:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242524,82,74147,QUA,2017-01-02 21:05:00,2017-01-02 21:36:00,0,0,0,0,0,0,0,0,0,1,1,0,0,0
242525,82,74147,DLM,2017-01-02 21:05:00,2017-01-02 21:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242536,7248,74150,SPO,2017-01-02 23:10:00,2017-01-02 23:40:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242537,7248,74150,SPO,2017-01-03 23:45:00,2017-01-04 00:15:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242538,7248,74150,QUA,2017-01-02 23:10:00,2017-01-02 23:40:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0
242539,7248,74150,QUA,2017-01-03 23:45:00,2017-01-04 00:15:00,0,0,0,0,0,0,1,1,0,0,0,0,0,0
242540,7248,74150,DLM,2017-01-02 23:10:00,2017-01-02 23:40:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242541,7248,74150,DLM,2017-01-03 23:45:00,2017-01-04 00:15:00,0,0,0,0,1,0,1,0,0,0,0,0,0,0
242542,7274,74151,SPO,2017-01-02 21:54:00,2017-01-02 22:09:00,0,0,0,0,0,0,0,0,0,1,1,0,0,0
242543,7274,74151,SPO,2017-01-02 22:15:00,2017-01-02 22:30:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242544,7274,74151,SPO,2017-01-02 22:35:00,2017-01-02 22:50:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242545,7274,74151,ANT,2017-01-02 21:54:00,2017-01-02 22:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242546,7274,74151,ANT,2017-01-02 22:15:00,2017-01-02 22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242547,7274,74151,ANT,2017-01-02 22:35:00,2017-01-02 22:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242548,7274,74151,QUA,2017-01-02 21:54:00,2017-01-02 22:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242549,7274,74151,QUA,2017-01-02 22:15:00,2017-01-02 22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242550,7274,74151,QUA,2017-01-02 22:35:00,2017-01-02 22:50:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
242551,7274,74151,DLM,2017-01-02 21:54:00,2017-01-02 22:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
