Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
253999,7466,75891,SPO,2018-01-01 12:40:00,2018-01-01 13:40:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
254000,7466,75891,QUA,2018-01-01 12:40:00,2018-01-01 13:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254001,7466,75891,DLM,2018-01-01 12:40:00,2018-01-01 13:40:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
254002,418,75892,SPO,2018-01-03 08:55:00,2018-01-03 10:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0
254003,418,75892,QUA,2018-01-03 08:55:00,2018-01-03 10:00:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0
254004,418,75892,DLM,2018-01-03 08:55:00,2018-01-03 10:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0
254098,131,75908,SPO,2018-01-04 00:28:00,2018-01-04 03:01:00,0,0,0,0,0,1,0,2,0,2,0,0,0,0
254099,131,75908,QUA,2018-01-04 00:28:00,2018-01-04 00:58:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0
254100,131,75908,QUA,2018-01-04 00:58:00,2018-01-04 01:28:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0
254101,131,75908,QUA,2018-01-04 01:28:00,2018-01-04 02:01:00,0,0,0,0,0,0,1,1,0,0,1,0,0,0
254102,131,75908,QUA,2018-01-04 02:01:00,2018-01-04 02:31:00,0,0,0,0,0,0,0,2,1,2,1,0,0,0
254103,131,75908,QUA,2018-01-04 02:31:00,2018-01-04 03:01:00,0,0,0,0,0,1,0,0,2,1,2,0,0,0
254104,131,75908,DLM,2018-01-04 00:28:00,2018-01-04 03:01:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
254105,131,75908,ANT,2018-01-04 00:28:00,2018-01-04 03:01:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
254302,474,75937,SPO,2018-01-06 17:30:00,2018-01-06 18:30:00,0,0,0,0,0,0,0,1,1,1,1,0,0,0
254303,474,75937,SPO,2018-01-06 18:30:00,2018-01-06 19:35:00,0,0,0,0,0,1,0,0,1,3,2,1,0,0
254304,474,75937,SPO,2018-01-06 19:35:00,2018-01-06 20:35:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0
254305,474,75937,ANT,2018-01-06 17:30:00,2018-01-06 18:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254306,474,75937,ANT,2018-01-06 18:30:00,2018-01-06 19:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254307,474,75937,ANT,2018-01-06 19:35:00,2018-01-06 20:35:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
254426,82,75948,SPO,2018-01-07 20:12:00,2018-01-07 22:30:00,0,0,0,0,0,0,0,0,1.5,2,4.5,3,3,0
254427,82,75948,ANT,2018-01-07 20:12:00,2018-01-07 22:30:00,0,0,0,0,0,0,0,0,0.5,1.5,1,3,0,0
254428,82,75948,QUA,2018-01-07 20:12:00,2018-01-07 22:30:00,1,0,0,0,0,0,0,0,0.5,1.5,2,1,0,0
254429,82,75948,DLM,2018-01-07 20:12:00,2018-01-07 22:30:00,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0
254430,82,75948,GUM,2018-01-07 20:12:00,2018-01-07 22:30:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
254473,82,75955,SPO,2018-01-08 21:00:00,2018-01-08 23:30:00,0,0,0,0,0,0,0,1,2.5,2.5,6,3,2,0
254474,82,75955,ANT,2018-01-08 21:00:00,2018-01-08 23:30:00,0,0,0,0,0,0,0,0,0,2,2.5,1.5,1,0
