Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
375,283,162,SPO,2008-12-19 09:08:00,2008-12-19 11:08:00,0,0,0,0,0,1,1,0,0,2,1,0,0,0
525,283,162,ANT,2008-12-19 09:08:00,2008-12-19 11:08:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
541,283,162,URS,2008-12-19 09:08:00,2008-12-19 11:08:00,0,0,0,0,0,0,1,1,0,0,0,0,0,0
383,283,163,SPO,2008-12-22 05:20:00,2008-12-22 08:22:00,0,0,0,0,0,0,0,1,0,6,1,0,0,0
526,283,163,ANT,2008-12-22 05:20:00,2008-12-22 08:22:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
547,283,163,URS,2008-12-22 05:20:00,2008-12-22 08:22:00,0,0,0,0,0,0,0,0,4,5,0,0,0,0
573,283,163,COM,2008-12-22 05:20:00,2008-12-22 08:22:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
266,283,164,COM,2008-12-31 10:47:00,2008-12-31 12:34:00,0,0,0,0,1,2,0,0,2,4,0,0,0,0
429,283,164,SPO,2008-12-31 10:47:00,2008-12-31 12:34:00,0,0,0,0,0,0,1,1,0,6,2,0,0,0
456,283,164,QUA,2008-12-31 10:47:00,2008-12-31 11:47:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
458,283,164,QUA,2008-12-31 11:47:00,2008-12-31 12:34:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0
563,283,164,ANT,2008-12-31 10:47:00,2008-12-31 12:34:00,0,0,0,0,0,1,1,1,0,0,0,0,0,0
809,630,311,PER,2008-08-11 22:10:00,2008-08-11 22:15:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
810,630,311,PER,2008-08-11 22:20:00,2008-08-11 22:25:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
811,630,311,PER,2008-08-11 22:50:00,2008-08-11 22:55:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
812,630,311,PER,2008-08-11 22:55:00,2008-08-11 23:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
