Rate ID,User ID,Obs Session ID,Start Date,End Date,Ra,Decl,Teff,F,Lm,Shower,Method,Number
894639,418,74141,2017-01-01 07:53:00,2017-01-01 09:00:00,165,65,1.1167,1,6.19,ANT,C,1
894640,418,74141,2017-01-01 07:53:00,2017-01-01 09:00:00,165,65,1.1167,1,6.19,QUA,C,1
894641,418,74141,2017-01-01 07:53:00,2017-01-01 09:00:00,165,65,1.1167,1,6.19,U27,C,1
894642,418,74141,2017-01-01 07:53:00,2017-01-01 09:00:00,165,65,1.1167,1,6.19,SPO,C,10
894647,131,74143,2017-01-02 02:31:00,2017-01-02 03:35:00,180,30,1.03,1.02,6.4,QUA,C,4
894648,131,74143,2017-01-02 02:31:00,2017-01-02 03:35:00,180,30,1.03,1.02,6.4,DLM,C,2
894649,131,74143,2017-01-02 02:31:00,2017-01-02 03:35:00,180,30,1.03,1.02,6.4,ANT,C,0
894650,131,74143,2017-01-02 02:31:00,2017-01-02 03:35:00,180,30,1.03,1.02,6.4,SPO,C,10
894651,131,74143,2017-01-02 03:35:00,2017-01-02 04:38:00,195,30,1.03,1.05,6.46,QUA,C,5
894652,131,74143,2017-01-02 03:35:00,2017-01-02 04:38:00,195,30,1.03,1.05,6.46,DLM,C,1
894653,131,74143,2017-01-02 03:35:00,2017-01-02 04:38:00,195,30,1.03,1.05,6.46,ANT,C,0
894654,131,74143,2017-01-02 03:35:00,2017-01-02 04:38:00,195,30,1.03,1.05,6.46,SPO,C,15
894655,7210,74144,2017-01-02 03:30:00,2017-01-02 04:21:00,134,6,0.85,3.33,3.45,QUA,C,1
894656,7210,74144,2017-01-02 03:30:00,2017-01-02 04:21:00,134,6,0.85,3.33,3.45,SPO,C,0
894657,418,74145,2017-01-02 09:41:00,2017-01-02 11:00:00,195,50,1.3167,1,6.3,QUA,C,11
894658,418,74145,2017-01-02 09:41:00,2017-01-02 11:00:00,195,50,1.3167,1,6.3,DLM,C,3
894659,418,74145,2017-01-02 09:41:00,2017-01-02 11:00:00,195,50,1.3167,1,6.3,U28,C,1
894660,418,74145,2017-01-02 09:41:00,2017-01-02 11:00:00,195,50,1.3167,1,6.3,SPO,C,12
894666,82,74147,2017-01-02 21:05:00,2017-01-02 21:36:00,110,35,0.5,1.33,6.2,ANT,C,1
894667,82,74147,2017-01-02 21:05:00,2017-01-02 21:36:00,110,35,0.5,1.33,6.2,QUA,C,2
894668,82,74147,2017-01-02 21:05:00,2017-01-02 21:36:00,110,35,0.5,1.33,6.2,DLM,C,0
