Observation Number,Is GLOBE Trained,is Citizen Science,Site ID,Observation Latitude,Observation Longitude,Observation Elevation,Measurement Date (UTC),Measurement Time (UTC),Is_dust,Dust_QA_comment,Sky Color,Sky Visibility,Total Cloud Cover,Total Cloud Cover %,Cirrus,Cirrocumulus,Cirrostratus,Altostratus,Altocumulus,Cumulus,Nimbostratus,Stratus,Stratocumulus,Cumulonimbus,Short Lived Contrails,Spreading Contrails,Non Spreading Contrails,Fog,Smoke,Haze,Volcanic Ash,Dust,Sand,Spray,Heavy Rain,Heavy Snow,Blowing Snow,Surface Snow/Ice,Surface Standing Water,Surface Muddy,Surface Dry Ground,Surface Leaves on Trees,Surface Raining or Snowing,High Cloud Cover,High Cloud Opacity,Mid Cloud Cover,Mid Cloud Opacity,Low Cloud Cover,Low Cloud Opacity,Surface Air Temperature,Surface Barometric Pressure,Surface Relative Humidity %,Ground Image North,Ground Image East,Ground Image South,Ground Image West,Ground Image Up,Ground Image Down,GEO/Terra/Aqua Satellite Match Table,CALIPSO Satellite Match Table,GEO Satellite,GEO Date,GEO Time,GEO Latitude,GEO Longitude,GEO Vzen,GEO Szen,GEO Low Cloud Cover,GEO Mid Cloud Cover,GEO High Cloud Cover,GEO Low Liquid,GEO Mid Lquid,GEO High Liquid,GEO Low Ice,GEO Mid Ice,GEO High Ice,GEO Low Cloud Opt,GEO Mid Cloud Opt,GEO High Cloud Opt,GEO Low Cloud Temp (K),GEO Mid Cloud Temp (K),GEO High Cloud Temp (K), GEO Low Cloud Altitude,GEO Mid Cloud Altitude,GEO High Cloud Altitude,GEO Snow,GEO Ocean,Terra Satellite,Terra Longitude,Terra Latitude,Terra Date,Terra Time,Terra Low Cloud Altitude,Terra Low Cloud Opt,Terra Low Cloud Cover,Terra Low Cloud Phase,Terra Low Cloud Temp (K),Terra Mid Cloud Altitude,Terra Mid Cloud Opt,Terra Mid Cloud Cover,Terra Mid Cloud Phase,Terra Mid Cloud Temp (K),Terra High Cloud Altitude,Terra High Cloud Opt,Terra High Cloud Cover,Terra High Cloud Phase,Terra High Cloud Temp (K),Terra Vzen,Terra Szen,Terra Wind,Terra Snow,Terra Ocean,Aqua Satellite,Aqua Longitude,Aqua Latitude,Aqua Date, Aqua Time, Aqua Low Cloud Altitude, Aqua Low Cloud Opt, Aqua Low Cloud Cover, Aqua Low Cloud Phase, Aqua Low Cloud Kel, Aqua Mid Cloud Altitude, Aqua Mid Cloud Opt, Aqua Mid Cloud Cover, Aqua Mid Cloud Phase, Aqua Mid Cloud Kel, Aqua High Cloud Altitude, Aqua High Cloud Opt, Aqua High Cloud Cover,Aqua High Cloud Phase,Aqua High Cloud Kel, Aqua Sat Vzen, Aqua Sat Szen, Aqua Wind, Aqua Snow, Aqua Ocean,,,
387913,1,0,11886,19.9927,42.6019,1137,2/3/12,9:30:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,20,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387599,1,0,11886,19.9927,42.6019,1137,2/4/12,9:00:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387583,1,0,12492,21.1723,40.2534,1658,2/4/12,9:30:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387343,1,0,11886,19.9927,42.6019,1137,2/5/12,9:00:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387079,1,0,11886,19.9927,42.6019,1137,2/6/12,9:00:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386990,1,0,6618,33.2346,35.638,23,2/6/12,10:04:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,20,1012,23,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386695,1,0,6638,34.58,32.41,33,2/7/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,19,-99,50,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386394,1,0,6578,32.2644,34.87827,37,2/8/12,8:53:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,53,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386338,1,0,12599,24.851,39.30414,2328,2/8/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,29,753,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386339,1,0,12601,24.24673,39.30093,2300,2/8/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,29,-99,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
