European Space Agency Paris,C-CORE CENTRE COLD OCEAN RES,CAPTAIN ROBERT A. BARTLETT BUILD. ST JOHN`SCANADA,SENTINEL 1 TRANSPONDER STORAGE,1/1/2017,12/31/2017,48.8481349,2.3042778,47.5615096,-52.7125768
European Space Agency Paris,CELESTIA SATELLITE TEST ANDSIMULATION,HUYGENSSTRAAT Noordwijk The Netherlands,Sentinel-2 Satellites C/D Units construction,1/1/2017,12/31/2017,48.8481349,2.3042778,52.2147353,4.4286381
European Space Agency Paris,CNES CST,Avenue Edouard Belin 18 Toulouse France,Cooperation Agreement for the implementation of Sentinel Missions,1/1/2017,12/31/2017,48.8481349,2.3042778,43.561818,1.4817323
European Space Agency Paris,CNES CST,Avenue Edouard Belin 18 Toulouse France,SENTINEL-2 CNES ROUTINE OPERATIONAL PHASE SUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,43.561818,1.4817323
European Space Agency Paris,COM DEV EUROPE,TRIANGLE BUSINESS PARK AYLESBURY UnitedKingdom,Sentinel-1C/D AIS Receiver,1/1/2017,12/31/2017,48.8481349,2.3042778,51.7782326,-0.7719485
European Space Agency Paris,CREOTECH INSTRUMENTS SA,ul. Gen. L. Okulickiego WARSZAWA Poland,COPERNICUS DATA AND INFORMATION ACCESS SERVICESOPERATIONS,1/1/2017,12/31/2017,48.8481349,2.3042778,52.229415,21.0971736
European Space Agency Paris,CRISA SA COMPUTADORAS REDES EINGENIERIA,C/.TORRES QUEVEDOS/N MADRID Spain,Sentinel 2 Satellites C/D Units construction,1/1/2017,12/31/2017,48.8481349,2.3042778,40.5344334,-3.6547772
European Space Agency Paris,CRISA SA COMPUTADORAS REDES EINGENIERIA,C/.TORRES QUEVEDOS/N MADRID Spain,SENTINEL-5  SWIR SS ACTIVITY,1/1/2017,12/31/2017,48.8481349,2.3042778,40.5344334,-3.6547772
European Space Agency Paris,CRISA SA COMPUTADORAS REDES EINGENIERIA,C/.TORRES QUEVEDOS/N MADRID Spain,SENTINEL-6A/B-PCDU,1/1/2017,12/31/2017,48.8481349,2.3042778,40.5344334,-3.6547772
European Space Agency Paris,CS SYSTEMES D INFORMATION,ZAC DE LA GRANDE PLAINE F-31506 TOULOUSECEDEX 5 France,Research and User Support (RUS) for Sentinel Core Products,1/1/2017,12/31/2017,48.8481349,2.3042778,43.5904476,1.4920343
European Space Agency Paris,CS SYSTEMES D INFORMATION,ZAC DE LA GRANDE PLAINE F-31506 TOULOUSECEDEX 5 France,Sentinel-2 Payload Data Ground Segment  (PDGS) system operationsmaintenance and evolutions,1/1/2017,12/31/2017,48.8481349,2.3042778,43.5904476,1.4920343
European Space Agency Paris,DEIMOS SPACE S.L.U,RONDA DE PONIENTE 19 EDIF.2 2A PL. TRESCANTOS/MADRID Spain,Sentinel-2 Payload Data Ground Segment  (PDGS) system operationsmaintenance and evolutions,1/1/2017,12/31/2017,48.8481349,2.3042778,40.6050908,-3.7189574
European Space Agency Paris,DLR - GERMAN AEROSPACE CENTER,Linder Höhe COLOGNE Germany,Preparations and operations of the off-line Processing and Archiving Centresfor sentinel satellites,1/1/2017,12/31/2017,48.8481349,2.3042778,50.937531,6.9602786
European Space Agency Paris,DLR - GERMAN AEROSPACE CENTER,Linder Höhe COLOGNE Germany,Sentinel-5P Payload Data Ground Segment  (PDGS) system operationsmaintenance and evolutions,1/1/2017,12/31/2017,48.8481349,2.3042778,50.937531,6.9602786
