name,address,lat,long
Graham Barnes,NorthWest Research Associates Colorado Research Associates Division Inc 3380 Mitchell Ln Boulder CO 80301 Colorado CO United States,40.0361096,-105.2417897
David Berghmans,Koninklijke Sterrenwacht van Belgi Av Circulaire 3Ringlaan 3 1180 Brussel Belgium,50.7986591,4.3587988
Henri M.J. Boffin,ESO KarlSchwarzschildStr 2 85748 Garching bei Mnchen Germany,48.2604133,11.6707477
Carine Bruyninx,Royal Observatory Belgium Av Circulaire 3Ringlaan 3 1180 Brussels Belgium,50.7986591,4.3587988
Johan De Keyser,Belgian Institute for Space Aeronomy BIRA Space Physics Av Circulaire 3Ringlaan 3 1180 Brussels Belgium,50.7967809,4.3569725
Stephane Goriely,Inst d Astronomie et d Astrophysique Universit Libre de Bruxelles IAA CP 226 Bd du Triomphe 1050 Bruxelles Belgium,50.8195535,4.3973944
Patrick Palmeri,UMONS Physique Atomique et Astrophysique 20 Place du Parc 7000 Mons Belgium,50.4586912,3.9522832
Dimitri Pourbaix,Institut d Astronomie et d Astrophysique Universit Libre de Bruxelles IAA CP 226 Bd du Triomphe 1050 Bruxelles Belgium,50.8195535,4.3973944
Pascal Quinet,Universit de Mons UMONS Physique Atomique et Astrophysique 20 Place du Parc 7000 Mons Belgium,50.4586912,3.9522832
Gregor Rauw,Inst dAstrophysiqueGophysique University of Lige Space Technology and Astrophysics Research Institute 19c alle du 6 Aot Bt B5c Sart Tilman 4000 Lige Belgium,50.59139,5.57132
Anne A. Thoul,Inst dAstrophysiqueGophysique Universit de Lige IAGL 17 alle du 6 Aot Bt B5c Parc Scientifique du Sart Tilman 4000 Lige Belgium,50.59139,5.57132
Guillermo L. Bosch,FCAGUNLP Observatorio Astronomico Paseo del Bosque sn La Plata Bs As 1900 Buenos Aires Argentina,-34.9083644,-57.9331637
Jes�s Calder�n,Universidad Crdoba Observatorio Astronmico Laprida 854 Barrio Observatorio Crdoba 5000 Crdoba Argentina,-31.4206002,-64.1989851
Sofia A. Cora,FCAGUNLP Observatorio Astronomico Paseo del Bosque sn La Plata Bs As 1900 Buenos Aires Argentina,-34.9083644,-57.9331637
Alicia Cruzado,FCAGUNLP Paseo del Bosque sn La Plata Bs As 1900 Buenos Aires Argentina,-34.9083644,-57.9331637
Maria S. De Biasi,FCAGUNLP Paseo del Bosque sn La Plata Bs As 1900 Buenos Aires Argentina,-34.9083644,-57.9331637
Carlos J. Donzelli,Observatorio Astronmico Laprida 854 Barrio Observatorio Crdoba 5000 Crdoba Argentina,-31.4206002,-64.1989851
Claudia M. Giordano,FCAGUNLP Paseo del Bosque sn La Plata Bs As 1900 Buenos Aires Argentina,-34.9083644,-57.9331637
Daniel O. G�mez,CONICETUniversidad de Buenos Aires Instituto de Astronomia y Fisica del Espacio Edificio IAFE Ciudad Universitaria Buenos Aires 1428 Buenos Aires Argentina,-34.5447362,-58.440696
Mario Daniel Melita,Consejo Nacional de Investigaciones Cientficas y Tcnicas Instituto de Astronoma y Fsica del Espacio Edificio IAFE Ciudad Universitaria Buenos Aires 1428 Buenos Aires Argentina,-34.5447362,-58.440696
Estela M. Reynoso,CONICETUniversidad de Buenos Aires IAFE Edificio IAFE Ciudad Universitaria Buenos Aires 1428 Buenos Aires Argentina,-34.5421313,-58.4444116
