Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Patricia B. Tissera,"['CONICET-Universidad de Buenos Aires', 'Edificio IAFE', 'Ciudad Universitaria', 'Buenos Aires 1428', 'Buenos Aires', 'Argentina']"
Carlos A. Valotto,"['Observatorio Astronómico', 'Laprida 854', 'Barrio Observatorio', 'Córdoba 5000', 'Córdoba', 'Argentina']"
Pablo Fabián Velázquez,"['UNAM', 'Universidad Nacional Autónoma de México', 'Instituto de Ciencias Nucleares', 'Delg. Coyoacán CP', 'Ciudad Universitaria', 'México DF 04510', 'Mexico']"
Liria G. Bagala,"['CONICET-Universidad de Buenos Aires', 'Edificio IAFE', 'Ciudad Universitaria', 'Buenos Aires 1428', 'Buenos Aires', 'Argentina']"
Alexandre Humberto Andrei,"['Observatorio Nacional', 'GPA-Diretoria', 'R. Gal. Jose Cristino 77', 'São Cristóvão', 'Rio de Janeiro, RJ 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Raymundo Baptista,"['Universidade Federal de Santa Catarina', 'Departamento de Física - CFM', 'Bairro da Trindade', 'CP 476', 'Florianópolis 88040-900', 'Santa Catarina (SC)', 'Brazil']"
Roberto D. Dias da Costa,"['Universidade de São Paulo', 'Instituto de Astronomia, Geofísica e Ciências Atmosféricas', 'Rua do Matão 1226', 'Cidade Universitária', 'São Paulo, SP 05508-900', 'São Paulo (SP)', 'Brazil']"
Cristina Chiappini,"['AIP', 'Leibniz Institute fuer Astrophysik Potsdam.', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Wagner J.B. Corradi,"['UFMG', 'Departamento de Física', 'Av Antônio Carlos, 6667 Campus Pampulha', 'Belo Horizonte, MG 31270-901', 'Minas Gerais (MG)', 'Brazil']"
Francois C. Cuisinier,['Brazil ']
Marcos P. Diaz,"['Universidade de São Paulo', 'Inst Astronomico e Geofisico', 'Rua do Matão 1226', 'Cidade Universitária', 'São Paulo, SP 05508-900', 'São Paulo (SP)', 'Brazil']"
Natalia Drake,"['Observatorio Nacional', 'R. Gal. Jose Cristino 77', 'São Cristóvão', 'Rio de Janeiro, RJ 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Silvia M. Giuliatti Winter,"['Universidade Estadual Paulista', 'Matemática', 'Av. A. Pereira da Cunha 333', 'Pedregulho', 'Guaratinguetá 12516-410', 'São Paulo (SP)', 'Brazil']"
José Ademir Sales de Lima,"['Universidade de São Paulo-USP/IAG', 'Instituto de Astronomia, Geofisica e Ciencias Atmosféricas', 'Rua do Matão', 'Cidade Universitaria', 'São Paulo, SP 05508-900', 'São Paulo (SP)', 'Brazil']"
Marcio Roberto de Garcia Maia,"['Universidade Federal do Rio Grande do Norte', 'Universidade Federal do Sul da Bahia (UFSB)', 'Centro de Formação em Tecno-Ciências e Inovação (CFTCI)', 'Campus Jorge Amado', 'Rua Itabuna, s/n, Rod. Ilhéus-Vitória da Conquista, km 39, BR 415, Ferradas', 'Itabuna, BA 45613-204', 'Bahia (BA)', 'Brazil']"
Luiz Themystokliz Sanctos Mendes,"['Universidade Federal de Minas Gerais', 'Electronics Engineering Department', 'Av. Antonio Carlos 6627', 'Departamento de Engenharia Eletronica', 'Belo Horizonte, MG 31270-901', 'Minas Gerais (MG)', 'Brazil']"
Gustavo F. Porto de Mello,"['Universidade Federal do Rio de Janeiro', 'Observatorio do Valongo', 'Ladeira do Pedro Antonio 43', 'Rio de Janeiro, RJ 20080-090', 'Rio de Janeiro (RJ)', 'Brazil']"
Marcelo Byrro Ribeiro,"['Universidade Federal do Rio de Janeiro', 'Physics Institute', 'Centro de Tecnologia, Bl. A, 3o. andar', 'Ilha do Fundão', 'Rio de Janeiro, RJ 21941-972', 'Rio de Janeiro (RJ)', 'Brazil']"
Silvia C.F. Rossi,"['Universidade de São Paulo', 'Inst Astronomico e Geofisico', 'Rua do Matão 1226', 'Cidade Universitária', 'São Paulo, SP 05508-900', 'São Paulo (SP)', 'Brazil']"
Joao F. C. Santos Jr.,"['Instituto de Ciencias Exatas, Universidade Federal de Minas Gerais', 'Departamento de Fisica', 'Av. Antonio Carlos 6627', 'Pampulha', 'Belo Horizonte, MG 31270-901', 'Minas Gerais (MG)', 'Brazil']"
